user_idx,user_id,item_idx,item_id,rank,score
0,39,7,4,1,18.62501335144043
0,39,15,5,2,17.557592391967773
0,39,5,23,3,16.163616180419922
0,39,12,3,4,15.867623329162598
0,39,16,2,5,15.634105682373047
0,39,9,11,6,15.476831436157227
0,39,23,12,7,15.07868766784668
0,39,22,13,8,14.817096710205078
0,39,13,19,9,14.776095390319824
0,39,3,22,10,14.238229751586914
1,29,20,17,1,11.730936050415039
1,29,13,19,2,11.455822944641113
1,29,27,29,3,11.33548355102539
1,29,14,8,4,11.315277099609375
1,29,17,20,5,10.89210033416748
1,29,15,5,6,10.806689262390137
1,29,26,10,7,10.267550468444824
1,29,3,22,8,10.183819770812988
1,29,2,21,9,10.019320487976074
1,29,1,1,10,9.9340238571167
2,15,7,4,1,13.185297966003418
2,15,12,3,2,12.95595645904541
2,15,1,1,3,12.563638687133789
2,15,16,2,4,12.420278549194336
2,15,28,27,5,12.195120811462402
2,15,8,30,6,11.950489044189453
2,15,2,21,7,11.735027313232422
2,15,21,26,8,11.646221160888672
2,15,14,8,9,11.619071960449219
2,15,13,19,10,11.372661590576172
3,43,12,3,1,6.742551326751709
3,43,20,17,2,6.338408946990967
3,43,2,21,3,6.329617500305176
3,43,13,19,4,6.292542934417725
3,43,14,8,5,5.931180000305176
3,43,27,29,6,5.860047817230225
3,43,23,12,7,5.687490940093994
3,43,21,26,8,5.484342098236084
3,43,18,28,9,5.451807975769043
3,43,16,2,10,5.421191692352295
4,8,27,29,1,18.289594650268555
4,8,8,30,2,15.722887992858887
4,8,21,26,3,15.585735321044922
4,8,15,5,4,15.01578426361084
4,8,14,8,5,14.952486991882324
4,8,10,24,6,14.398004531860352
4,8,4,6,7,14.049361228942871
4,8,18,28,8,13.641008377075195
4,8,22,13,9,13.366854667663574
4,8,3,22,10,13.110086441040039
5,21,12,3,1,13.5785493850708
5,21,15,5,2,13.459823608398438
5,21,8,30,3,12.9589204788208
5,21,21,26,4,12.735100746154785
5,21,11,9,5,12.72001838684082
5,21,19,15,6,12.593607902526855
5,21,14,8,7,12.406350135803223
5,21,1,1,8,11.849364280700684
5,21,5,23,9,11.749884605407715
5,21,28,27,10,11.582390785217285
6,19,12,3,1,18.426040649414062
6,19,8,30,2,17.94550895690918
6,19,27,29,3,17.663516998291016
6,19,0,25,4,15.937397003173828
6,19,28,27,5,15.6698637008667
6,19,10,24,6,15.397024154663086
6,19,1,1,7,15.30118179321289
6,19,19,15,8,15.130520820617676
6,19,16,2,9,14.89487075805664
6,19,11,9,10,14.852852821350098
7,23,1,1,1,13.104965209960938
7,23,0,25,2,12.1928071975708
7,23,21,26,3,11.721545219421387
7,23,15,5,4,11.555191040039062
7,23,2,21,5,11.341084480285645
7,23,9,11,6,11.255952835083008
7,23,5,23,7,11.150822639465332
7,23,25,18,8,10.979415893554688
7,23,3,22,9,10.971555709838867
7,23,7,4,10,10.924848556518555
8,11,20,17,1,13.121245384216309
8,11,27,29,2,11.767267227172852
8,11,15,5,3,11.60999584197998
8,11,25,18,4,11.040939331054688
8,11,7,4,5,10.676909446716309
8,11,21,26,6,10.584344863891602
8,11,1,1,7,10.199006080627441
